Posted on,Owner Name,Location,BHK,Balcony,Sq. ft,Price
2023-09-08,Mamooty Dixit,Raebareli,3,0,918,9609305
2023-09-18,Lavanya Borde,Rewa,1,0,750,5744349
2023-10-01,Abram Yadav,Thrissur,1,2,1324,8400421
2023-09-25,Gokul Aurora,Pondicherry,1,0,1331,8008782
2023-09-17,Devansh Kala,Kalyan-Dombivli,4,0,1229,4276382
2023-09-27,Samarth Dada,Kamarhati,4,0,1299,9518186
2023-09-05,Fateh Baria,Chandrapur,4,2,964,8921525
2023-09-20,Pihu Rajan,Raebareli,2,1,1884,3001947
2023-10-01,Aarav Sehgal,Vellore,3,1,1489,3258659
2023-09-27,Inaaya  Sharma,Jalandhar,2,0,1027,7525182
2023-09-15,Jayesh Swamy,Shimoga,4,0,1353,5794181
2023-09-18,Charvi Iyer,Ujjain,2,0,953,4554204
2023-09-11,Alia Thakkar,Mahbubnagar,4,2,1522,9441818
2023-09-13,Purab Acharya,Bhiwani,1,2,1444,3812333
2023-09-05,Rati Khurana,Hindupur,4,0,1129,5200932
2023-09-13,Dharmajan Mani,Saharsa,4,2,1896,1936430
2023-09-04,Mehul Krishnan,New Delhi,2,2,1645,9942449
2023-09-18,Nirvaan Shan,Hubli–Dharwad,3,1,1340,2281743
2023-09-29,Kabir Rege,Suryapet,1,2,1803,7035599
2023-09-10,Rohan Rout,Pune,4,0,1460,3165528
2023-09-22,Yashvi Joshi,Pallavaram,1,1,773,5413869
2023-09-06,Miraan Saraf,Buxar,4,1,552,7000365
2023-09-24,Anahita Grover,Avadi,1,1,743,6894898
2023-09-09,Aradhya Ramaswamy,Shahjahanpur,1,2,1891,5747292
2023-09-27,Samarth Chadha,Kavali,3,0,516,9700610
2023-09-16,Advik Wali,Hapur,4,1,1638,4955111
2023-09-16,Kartik Bhatt,Surat,4,0,1458,8587578
2023-09-24,Parinaaz Maharaj,Hindupur,3,1,1974,7322544
2023-09-25,Stuvan Batta,Bangalore,1,0,1408,4893392
2023-09-09,Vardaniya Bail,Patna,4,2,1001,6014131
2023-09-28,Ryan Bhagat,Khora ,1,0,1504,6678576
2023-09-21,Divyansh Hari,Bhavnagar,4,2,1957,8981665
2023-10-02,Zaina Sandhu,Ujjain,1,0,1183,9135871
2023-10-01,Arnav Bhagat,Alwar,1,0,1878,1746925
2023-09-13,Dhanuk Gaba,Anand,2,0,1371,9524734
2023-09-09,Mannat Chhabra,Bilaspur,4,0,1754,4488116
2023-09-13,Vedika Halder,Berhampore,4,2,717,9866485
2023-09-27,Mohanlal Shroff,Bhopal,4,0,1545,5901295
2023-09-20,Sara Verma,Bhiwandi,4,2,1409,7481457
2023-09-20,Mahika Korpal,Tiruchirappalli,1,0,980,7015666
2023-09-06,Stuvan Shukla,Bhusawal,1,1,693,5430446
2023-09-07,Lagan Bhat,Kozhikode,4,0,1265,6929374
2023-09-27,Shanaya Kohli,Tiruvottiyur,1,1,1841,9464232
2023-10-02,Sara Gupta,Silchar,4,1,690,2227853
2023-09-06,Anya Deshmukh,Ichalkaranji,3,2,1839,8202482
2023-09-30,Inaaya  Ganguly,Mango,2,0,1878,9577644
2023-09-27,Fateh Ravi,Mahbubnagar,2,0,1967,2609052
2023-10-01,Shaan Bava,Vadodara,3,0,680,9747914
2023-09-26,Dishani Khosla,Kanpur,4,1,1270,7332777
2023-09-04,Oorja Tata,Orai,2,0,1115,5842503
2023-09-04,Nakul Sankaran,Tumkur,2,0,1340,9752331
2023-09-05,Nirvi Agarwal,Hindupur,3,1,1806,7042004
2023-09-27,Ivan Srivastava,Udaipur,2,2,1425,5022491
2023-09-13,Azad Sodhi,Agartala,1,1,1775,7300620
2023-10-01,Shaan Sankaran,Raebareli,4,0,1796,6211059
2023-09-14,Miraan Rajan,Jaunpur,3,1,1582,5066895
2023-09-14,Samaira Lad,Lucknow,4,1,1274,4089587
2023-09-11,Tushar Sem,Tezpur,2,0,835,2758243
2023-09-19,Hiran Sur,Bhatpara,1,2,999,3462396
2023-09-17,Vivaan Swaminathan,Hajipur,2,1,1943,7355487
2023-09-11,Ivan Kulkarni,Bhimavaram,3,1,1119,2181266
2023-09-07,Khushi Acharya,Jhansi,3,2,992,7667270
2023-09-25,Ryan Korpal,Rohtak,1,1,1226,8937228
2023-09-18,Advik Madan,Purnia,2,1,663,1147707
2023-09-09,Kartik Buch,Gurgaon,3,1,1209,2859108
2023-09-12,Mahika Mani,Udupi,1,1,1846,4263982
2023-09-11,Kiaan Choudhry,Hapur,4,1,1000,8107617
2023-09-14,Kiara Sura,Pudukkottai,2,2,872,4898256
2023-09-16,Aarna Dash,Bhatpara,2,1,1887,7900904
2023-09-30,Shayak Vala,Dehradun,2,2,1455,3291188
2023-09-14,Pranay Kibe,Chapra,4,2,768,8747624
2023-09-15,Nitya Dutt,Kamarhati,4,1,867,3626107
2023-09-27,Dishani Bhatti,Orai,2,0,773,3807576
2023-09-11,Zain Shukla,Kurnool,3,1,1249,1654712
2023-09-23,Vanya Sem,Coimbatore,2,2,1423,4720908
2023-09-12,Shayak Grover,Bangalore,4,0,1855,7384911
2023-09-09,Jivika Ganguly,Vasai-Virar,4,1,1815,7086773
2023-09-11,Shayak Brahmbhatt,Kharagpur,4,1,849,9882845
2023-09-14,Rasha Bala,Sambhal,2,0,1401,6606681
2023-09-07,Dhanush Sahota,Varanasi,1,1,1460,1771706
2023-09-22,Anika Chauhan,Chittoor,2,2,1066,6684326
2023-09-13,Nirvi Chadha,Mirzapur,2,1,1275,7169335
2023-09-05,Darshit Wali,Vijayawada,1,0,1961,5978549
2023-10-02,Hiran Vig,Nagercoil,3,1,1136,2081117
2023-09-09,Armaan Balasubramanian,Burhanpur,4,2,526,5491390
2023-09-22,Rania Sachar,Nangloi Jat,4,0,1450,2765129
2023-09-16,Riya Badal,Dehradun,1,2,1304,4232442
2023-09-17,Divit Bawa,Korba,1,0,1410,5031293
2023-09-30,Mohanlal Char,Kirari Suleman Nagar,3,1,1039,9498057
2023-09-29,Nirvaan Dugar,Jamalpur,4,0,1860,4314877
2023-10-02,Kavya Bhatnagar,Kochi,3,2,1192,2578193
2023-09-16,Divyansh Dhillon,Bhavnagar,4,0,897,4602816
2023-09-10,Jivin Dada,Saharsa,2,1,1714,9898354
2023-09-04,Saanvi Bobal,Raipur,2,2,734,2506420
2023-09-26,Inaaya  Bakshi,Muzaffarpur,2,0,1813,5900922
2023-09-20,Aarav Sabharwal,Bidhannagar,4,0,1190,4127337
2023-09-26,Aniruddh Deo,Mau,3,0,1682,9171795
2023-09-14,Aaryahi Dar,Bokaro,4,1,1257,2846956
2023-09-11,Zara Karan,Morena,1,0,1912,9418782
2023-09-29,Advika Choudhary,Vadodara,4,0,1628,5972310
2023-10-01,Vaibhav Saran,Hapur,1,1,1821,2491517
2023-09-12,Umang Divan,Muzaffarnagar,4,1,1566,2261812
2023-09-25,Yuvraj  Srinivasan,Vijayawada,3,1,975,1313061
2023-09-21,Prisha Majumdar,Muzaffarpur,2,0,1813,9528081
2023-09-14,Anvi Subramaniam,Madurai,2,2,1491,3368308
2023-09-10,Yakshit Bobal,Dhule,4,1,1957,5948643
2023-09-18,Tanya Chahal,Ramgarh,3,2,1137,7070711
2023-09-08,Indrans Gulati,Jaipur,3,2,885,2914981
2023-09-04,Bhavin Ranganathan,Dewas,2,0,1807,9400153
2023-09-08,Adira Balan,Purnia,1,0,1431,5932134
2023-09-20,Jayant Bora,Pallavaram,2,0,1516,5396797
2023-09-29,Samaira Edwin,Patna,2,0,719,2263433
2023-09-23,Riaan Bakshi,Hindupur,1,2,554,8824370
2023-09-25,Ishaan Yadav,Bhiwandi,1,2,932,4428256
2023-09-10,Charvi Chhabra,Buxar,1,2,1997,7998729
2023-09-13,Aniruddh Master,Guntakal,4,2,1621,9943501
2023-09-17,Damini Dubey,Khora ,1,1,738,8452169
2023-09-23,Madhav Chawla,Dibrugarh,2,1,1940,4670571
2023-09-29,Priyansh Chawla,Ahmedabad,4,2,1143,7226732
2023-10-02,Shalv Agate,Satna,4,2,1074,8374234
2023-10-02,Mahika Chanda,Kurnool,4,1,1742,6343919
2023-09-06,Vritika Yohannan,Mahbubnagar,3,2,1560,6716820
2023-09-20,Arnav Chatterjee,Nellore,3,1,750,9647951
2023-10-01,Shlok Virk,Srinagar,3,1,509,5572827
2023-09-06,Ishaan Lata,Vasai-Virar,2,1,918,7615364
2023-09-22,Miraya Vig,Pune,1,0,1145,1233294
2023-09-28,Neelofar Vyas,Jehanabad,3,0,1953,3711919
2023-09-07,Shalv Mander,Meerut,3,1,1306,7415542
2023-09-18,Tara Chada,Mirzapur,4,2,828,6070756
2023-09-04,Amira Sami,Nellore,3,2,1228,7841405
2023-09-25,Nayantara Lad,Surendranagar Dudhrej,4,0,1816,8039400
2023-09-24,Tarini Bhalla,Etawah,2,0,948,9641812
2023-09-25,Veer Kibe,Ludhiana,1,1,609,6699947
2023-09-21,Parinaaz Chatterjee,Coimbatore,4,0,888,4424967
2023-09-11,Pranay Badal,Ballia,4,0,1476,6593108
2023-09-05,Anaya Dhingra,Bhind,2,0,1911,4313208
2023-09-17,Damini Agarwal,Bharatpur,2,0,777,4323805
2023-09-12,Nitara Dyal,Hospet,2,0,908,7149264
2023-10-02,Mehul Joshi,Machilipatnam,4,2,1969,8287514
2023-09-30,Aarush Dalal,Berhampore,4,0,728,1745194
2023-09-22,Shray Butala,Panvel,2,2,1248,1658636
2023-09-21,Urvi Mani,Bhubaneswar,2,2,1122,4627373
2023-09-18,Zoya Deshmukh,Bikaner,1,1,1986,3444520
2023-09-30,Hansh Agrawal,Kota,2,2,1251,6854418
2023-10-01,Heer Thaman,Pondicherry,4,2,1576,1258189
2023-09-27,Shamik Mall,Gandhinagar,1,0,1564,2297861
2023-10-02,Nishith Gopal,Kolkata,3,1,1713,9109205
2023-09-11,Eshani Ram,Jalna,1,1,697,9182145
2023-09-27,Damini Dora,Raiganj,2,2,1802,9772687
2023-09-23,Nayantara Sachdeva,Tirupati,1,2,626,8632955
2023-10-02,Aarav Ganguly,Karawal Nagar,2,2,520,8904087
2023-09-25,Mahika Chowdhury,Chapra,3,2,851,5294221
2023-09-13,Heer Madan,Saharanpur,4,0,1726,6228939
2023-09-20,Vedika Mangal,Katni,1,1,1110,5622676
2023-09-21,Anahita Doctor,Bidar,4,2,735,2815212
2023-09-26,Parinaaz Sami,Giridih,1,2,962,1738915
2023-09-14,Urvi Dugal,Raiganj,1,2,1320,3088616
2023-09-15,Seher Sharma,Kurnool,4,2,1232,7281290
2023-09-09,Advik Divan,Satara,3,1,1100,7079950
2023-09-16,Yashvi Bumb,Kharagpur,4,1,1750,3194824
2023-09-11,Vivaan Saraf,Hindupur,1,0,1887,7066749
2023-09-18,Ehsaan Kata,Vasai-Virar,4,2,642,3997569
2023-09-28,Taimur Mahal,Rourkela,3,0,1230,2018496
2023-09-25,Prerak Baria,Aligarh,3,2,1823,8435073
2023-09-18,Riya Bassi,Jodhpur,1,0,1382,8042106
2023-09-30,Farhan Sagar,Panihati,2,1,626,1286076
2023-09-18,Seher Uppal,Indore,1,1,1249,9189358
2023-09-06,Dhruv Ramaswamy,Nellore,4,1,1030,3780618
2023-09-19,Uthkarsh Dhar,North Dumdum,2,0,1027,1404649
2023-09-10,Bhavin Goswami,Asansol,3,1,1097,7771614
2023-09-22,Ela Kalla,Purnia,2,0,1582,2414699
2023-09-14,Kimaya Chad,Haridwar,3,1,572,3514863
2023-09-29,Yashvi Goel,Guntakal,4,0,1530,9057851
2023-09-21,Aniruddh Chander,Jodhpur,4,2,1067,6386856
2023-09-06,Piya Roy,Rampur,3,2,1330,5028759
2023-09-28,Yasmin Sule,Eluru,1,2,981,6450062
2023-09-29,Dharmajan Dutta,Madanapalle,3,1,513,4402076
2023-09-27,Hrishita Dhillon,Visakhapatnam,2,2,1916,4338221
2023-09-07,Manikya Majumdar,Secunderabad,3,1,963,9217119
2023-09-25,Dharmajan Khanna,Jorhat,3,2,542,1671256
2023-09-21,Priyansh Ghosh,Ludhiana,1,1,1759,8285670
2023-09-12,Jivika Sunder,Bhiwani,3,1,540,4179691
2023-09-14,Renee Salvi,Malegaon,1,1,1133,6598482
2023-09-13,Indrajit Master,Hajipur,2,0,736,7338688
2023-09-26,Advik Vyas,Alappuzha,2,2,1612,7603699
2023-09-14,Adah Sama,Gopalpur,1,1,1387,5419100
2023-09-10,Yuvraj  Bhatt,Dharmavaram,4,2,1064,5354733
2023-09-04,Priyansh Chana,Durg,2,2,502,4849773
2023-09-13,Kimaya Agarwal,Ulhasnagar,3,2,665,6431307
2023-09-21,Shlok Ahluwalia,Ramgarh,2,1,541,8873051
2023-09-13,Vivaan Brahmbhatt,Sikar,2,2,1903,1097916
2023-09-13,Eshani Basak,Guntur,2,2,725,4440080
2023-09-17,Baiju Viswanathan,Narasaraopet,1,1,837,4387152
2023-09-23,Romil Zacharia,Suryapet,4,2,1298,9877336
2023-09-30,Rania Kapoor,Varanasi,1,2,1340,3593399
2023-09-06,Jiya Desai,Ambattur,1,0,519,2385239
2023-09-09,Sana Gopal,Nangloi Jat,2,2,1141,9579789
2023-10-02,Anaya Mangat,Thane,1,2,1412,3579835
2023-09-26,Mehul Dhingra,Malegaon,4,2,1150,2045915
2023-09-30,Hansh Hayer,Korba,3,1,1816,7362831
2023-10-02,Mohanlal Keer,Coimbatore,4,2,1816,9245995
2023-09-24,Miraya Kari,Anand,3,0,1877,8213093
2023-09-19,Alisha Kumar,Sikar,4,1,882,3102354
2023-10-01,Pari Chakrabarti,Surendranagar Dudhrej,3,0,1351,6085292
2023-10-01,Diya Krishnamurthy,Mirzapur,4,0,1444,5849515
2023-09-06,Faiyaz Hayer,Morbi,4,0,1568,3557653
2023-10-01,Purab Sharaf,Ongole,3,2,1607,1213680
2023-09-27,Lavanya Babu,Patna,2,1,1746,2285181
2023-09-06,Kanav Sangha,Singrauli,4,0,733,7448121
2023-09-07,Trisha Bala,Ongole,3,0,1789,3502420
2023-10-02,Hunar Arora,Ajmer,4,1,1478,2595120
2023-09-24,Ira Gaba,Berhampur,2,0,1619,6131489
2023-09-16,Jivin Varghese,Medininagar,1,0,594,4589484
2023-09-05,Divit Grover,Hospet,2,0,1063,7217720
2023-09-04,Umang Goswami,Ramgarh,2,2,1387,9736631
2023-09-07,Hridaan Rau,Bulandshahr,4,2,1653,3446540
2023-09-06,Shamik Bawa,Kirari Suleman Nagar,3,1,1212,3448334
2023-09-08,Dharmajan Sankaran,Thiruvananthapuram,4,1,1981,3163413
2023-09-08,Anya Dhaliwal,Bhiwandi,2,1,1510,9459331
2023-10-02,Kiaan Doshi,Imphal,2,2,1706,6154898
2023-09-07,Aniruddh Jha,Bhopal,3,2,628,3683486
2023-09-24,Anahita Buch,Satna,4,1,688,1087965
2023-09-27,Aniruddh Subramaniam,Orai,2,0,1751,6632969
2023-09-08,Umang Garg,Tirunelveli,4,2,1603,7325729
2023-09-14,Kiara Bava,Chittoor,2,1,1374,4498218
2023-09-12,Azad Lad,Dewas,4,1,1765,9296005
2023-09-23,Manjari Bail,Amaravati,2,0,1847,7846228
2023-09-21,Sana Dyal,Chennai,1,2,1458,1673535
2023-09-04,Dhruv Kapoor,Thanjavur,3,1,689,1592271
2023-09-20,Eshani Suri,Pallavaram,4,0,1413,6608156
2023-09-14,Mehul Kale,Dindigul,4,0,999,8892791
2023-09-11,Trisha Dass,Ambala,2,2,1923,6208663
2023-09-13,Shaan Sankar,Udupi,1,2,1772,8414235
2023-09-13,Riaan Bhatia,Gangtok,3,2,1593,2746108
2023-09-16,Biju Kashyap,Panihati,2,1,739,3409868
2023-09-08,Mannat Kulkarni,Eluru,4,2,1270,6511317
2023-09-27,Mohanlal Gole,Dindigul,1,0,1484,7040289
2023-09-10,Anvi Borah,Ajmer,2,2,1908,3082672
2023-09-28,Tarini Rau,Ulhasnagar,2,2,1542,1975706
2023-09-11,Rhea Doshi,Bhilwara,2,1,1857,2028574
2023-09-09,Gokul Kashyap,Ambarnath,3,1,843,4013538
2023-10-01,Aayush Dayal,Jalna,3,0,1536,1001446
2023-09-11,Misha Das,Siwan,3,2,1658,5534583
2023-09-30,Onkar Buch,Kottayam,2,2,1897,1844894
2023-09-06,Prerak Sharaf,Bhiwani,2,1,978,8377002
2023-09-14,Shray Char,Indore,1,2,862,3049856
2023-09-22,Zara Vaidya,Raebareli,4,0,1508,5690199
2023-09-08,Armaan Aurora,Guna,2,2,924,5686030
2023-09-20,Tiya Dasgupta,Sultan Pur Majra,2,0,1808,7875702
2023-09-25,Rati Barad,Salem,4,1,638,7105432
2023-09-18,Parinaaz Bhat,Ahmedabad,4,0,1725,4870839
2023-09-23,Hansh Roy,Mahbubnagar,1,0,1598,5796827
2023-09-21,Saksham Khare,Jalgaon,2,0,989,1702152
2023-09-16,Saira Basak,Jodhpur,3,0,1194,2979775
2023-09-15,Aarna Salvi,Bhubaneswar,3,0,1400,2335084
2023-09-08,Kimaya Sankaran,Jaipur,3,0,1648,8393711
2023-09-13,Ishita Gupta,Thiruvananthapuram,4,2,717,5107839
2023-09-30,Amira Arora,Chandigarh,1,2,829,3350244
2023-09-29,Ishaan Char,Bihar Sharif,3,1,506,4943697
2023-09-26,Miraan Mane,Maheshtala,4,0,560,8650880
2023-10-02,Romil Ranganathan,Coimbatore,4,0,609,1532380
2023-09-16,Gokul Din,Howrah,3,2,1666,6372065
2023-09-30,Uthkarsh Barman,Uluberia,4,1,1972,4264119
2023-09-08,Seher Cherian,Ballia,1,0,652,1480283
2023-10-01,Hrishita Dhingra,Khandwa,2,1,1354,2979907
2023-09-09,Anahi Srivastava,Rajkot,3,2,1585,8395055
2023-09-19,Kimaya Sachdev,Gudivada,3,0,1910,7806167
2023-09-14,Vivaan Sama,Sonipat,2,1,831,2044380
2023-09-27,Myra Barad,Alwar,3,1,1597,7524934
2023-09-23,Saanvi Banerjee,Begusarai,2,2,1001,9700149
2023-09-28,Nishith Bala,Nashik,1,0,1062,5248983
2023-09-29,Stuvan Sarkar,Korba,1,2,1993,2613205
2023-09-24,Amira Dugal,Rewa,4,0,1668,1953273
2023-09-12,Advik Chadha,Ghaziabad,3,1,1692,7673624
2023-09-13,Divij Issac,Udupi,2,2,1671,4738990
2023-09-15,Kashvi Lala,Sambalpur,4,2,532,2081187
2023-09-18,Ivan Dugal,Bhilwara,3,2,645,8419987
2023-09-13,Aaina Mahajan,Sirsa,1,1,579,2984988
2023-09-27,Divit Rana,Haldia,4,0,1728,4489416
2023-10-02,Adira Bansal,Sambhal,4,2,717,4982839
2023-09-29,Inaaya  Walia,Thrissur,2,1,1022,9960292
2023-09-29,Yuvraj  Gandhi,Mirzapur,3,1,1874,6490577
2023-09-27,Jiya D’Alia,Nellore,4,2,1548,4884700
2023-09-08,Jiya Gour,Gudivada,1,0,1468,2654425
2023-09-17,Navya Balasubramanian,Nanded,3,1,1868,8158031
2023-10-01,Bhamini Anne,Buxar,3,2,523,5144838
2023-09-12,Nishith Manne,Jaipur,2,1,1117,4820269
2023-09-28,Purab Magar,Surendranagar Dudhrej,4,0,740,2446266
2023-09-11,Zeeshan Viswanathan,Ratlam,2,1,1258,1266662
2023-09-07,Baiju Bhavsar,Dehri,3,0,1599,6807224
2023-09-25,Lavanya Chad,Gudivada,3,2,1379,6878967
2023-09-30,Drishya Ram,Rourkela,1,2,1309,2921321
2023-10-01,Rati Sagar,Surendranagar Dudhrej,2,1,1305,7378326
2023-09-28,Samarth Ranganathan,North Dumdum,3,0,1518,4645164
2023-09-25,Kanav Toor,Bareilly,3,1,1034,2642345
2023-09-07,Saira Gade,Saharanpur,1,2,1576,8423992
2023-09-22,Drishya Karnik,Tiruppur,2,2,1165,2936518
2023-10-02,Vihaan Devi,Tadepalligudem,2,2,1531,9912624
2023-09-25,Misha Dasgupta,Morbi,4,2,1861,9000845
2023-09-04,Hridaan Chowdhury,Shimla,3,0,1420,1949096
2023-09-23,Madhup Gandhi,Amaravati,4,1,854,3904124
2023-09-25,Mehul Srinivasan,Nanded,3,2,816,4938230
2023-09-21,Aarav Ravi,Howrah,3,1,1020,7316666
2023-09-06,Kabir Kohli,Shimla,2,2,1808,3669934
2023-09-06,Anaya Soni,Nizamabad,3,1,956,7771658
2023-09-04,Aarav Warrior,Srikakulam,3,2,1974,3330767
2023-09-14,Ivan Varughese,Sirsa,3,2,1884,2498338
2023-09-28,Badal Arora,Tadipatri,4,2,1614,2376344
2023-09-16,Aniruddh Rao,Kottayam,1,2,1341,9774206
2023-09-17,Veer Kata,Bhopal,2,0,1683,3447572
2023-09-15,Divyansh Srinivas,Dhanbad,4,2,647,9664761
2023-09-28,Manjari Mann,Latur,2,0,1309,6359678
2023-09-05,Anahita Bawa,Anantapuram,3,1,1030,1523070
2023-09-21,Jayan Sagar,Hospet,2,0,1512,1511098
2023-09-16,Pari Anand,Ongole,4,0,1292,7682537
2023-09-29,Hunar Krish,Imphal,2,1,858,8271221
2023-09-17,Uthkarsh Mander,Ratlam,2,0,1199,8339124
2023-09-17,Pihu Dara,Bulandshahr,4,1,806,8041177
2023-09-08,Rohan Sarna,Kavali,1,2,1001,6128051
2023-09-16,Siya Gaba,Kakinada,2,1,1930,6883197
2023-09-19,Nitya Wason,Giridih,4,2,833,6515823
2023-09-09,Shalv Mannan,Yamunanagar,1,2,1324,7056112
2023-09-23,Ayesha Saxena,Shimla,2,0,688,8535436
2023-10-01,Sahil Chowdhury,Imphal,1,0,1399,2870641
2023-09-06,Jayan Sekhon,Eluru,4,1,1044,1227991
2023-09-23,Anahita Choudhary,Rohtak,4,0,1437,5622088
2023-10-01,Shamik Hayer,Raebareli,1,2,952,6015778
2023-09-06,Taimur Doshi,Rajahmundry,1,2,595,2030817
2023-09-06,Dhanuk Sami,Dewas,3,1,1032,7406787
2023-09-09,Sana Swamy,Mehsana,3,2,1979,4032865
2023-09-28,Lakshay Din,Bharatpur,1,0,1244,9402922
2023-09-28,Aaryahi Saini,Hajipur,3,0,1679,4336906
2023-09-17,Hridaan Sawhney,Karimnagar,1,0,525,8674687
2023-09-27,Ivan Ramachandran,Ramgarh,4,0,1451,6715920
2023-09-09,Urvi Vig,Thanjavur,1,0,1991,1358567
2023-09-11,Tarini Vaidya,Tenali,2,0,1691,6531438
